Operator,Noisy_val_approx,Ideal_val,difference,REM_seq,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr
"(((1, 4), (3, 6)), ((0, 5), (2, 7)), ((4, 5), (6, 7)))",-2.044336566,-2.113510551,0.00478504,-2.112992144,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((0, 5), (2, 7)), ((0, 1), (2, 3)))",-1.934101902,-2.113510549,0.032187463,-2.112564233,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((0, 5), (2, 7)), ((1, 5), (2, 6)))",-1.791572154,-2.144523442,0.124574612,-2.135936181,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((0, 5), (2, 7)), ((0, 5), (3, 6)))",-1.673053163,-2.113465368,0.19396291,-2.113612026,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 4), (3, 7)))",-2.116640769,-2.116640769,0,-2.116119594,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((1, 4), (2, 7)))",-2.113872672,-2.113872672,0,-2.11334513,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))",-2.04378349,-2.112911809,0.004778724,-2.1123816,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.930808874,-2.112901098,0.033157578,-2.112370855,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.783354511,-2.136894168,0.124990289,-2.129119229,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.671718677,-2.113896619,0.195521332,-2.113516228,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((0, 4), (3, 7)), ((1, 4), (2, 7)))",-2.112762084,-2.112762084,0,-2.112232511,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((0, 4), (3, 7)), ((4, 5), (6, 7)))",-2.043044148,-2.112523142,0.004827331,-2.111940394,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((0, 4), (3, 7)), ((0, 1), (2, 3)))",-1.930692444,-2.112509301,0.03305737,-2.111441207,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((0, 4), (3, 7)), ((1, 5), (2, 6)))",-1.78773605,-2.139493954,0.123733623,-2.134242937,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
