Operator,Noisy_val_approx,Ideal_val,diff,REM_seq,Diff_REM,2q_gate,1q_gate,2q_gate_tr,1q_gate_tr,cx_gate,cx0_gate,no_T2,total_cnt,sum_cx,sum_cx0,sum_t2,sum_2q_tr,sum_1q_tr
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 4), (2, 6)))",-1.625796764,-1.625796764,0,-1.625397106,1.59726E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((1, 4), (2, 7)))",-1.586608306,-1.586608306,0,-1.586184333,1.79753E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 4), (3, 7)))",-1.595906376,-1.595906376,0,-1.595483454,1.78863E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((4, 5), (6, 7)))",-1.540455259,-1.582731642,0.001787293,-1.580104102,0.001572031,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 1), (2, 3)))",-1.484454155,-1.58154416,0.009426469,-1.57208983,0.007680012,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((1, 5), (2, 6)))",-1.458291648,-1.627492494,0.028628926,-1.62549054,0.02795547,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((1, 5), (3, 7)), ((0, 5), (3, 6)))",-1.413651266,-1.587482259,0.030217214,-1.629274546,0.046493399,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((1, 4), (2, 7)))",-1.586297628,-1.586297628,0,-1.585878865,1.75363E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((0, 4), (3, 7)))",-1.594642786,-1.594642786,0,-1.594219919,1.78816E-07,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((4, 5), (6, 7)))",-1.538885096,-1.582531065,0.001904971,-1.582260273,0.001881406,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((0, 1), (2, 3)))",-1.477422449,-1.581315187,0.010793701,-1.565912613,0.007830509,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
"(((1, 4), (3, 6)), ((0, 4), (2, 6)), ((1, 5), (2, 6)))",-1.461677581,-1.627680423,0.027556944,-1.651637666,0.036084834,42,28,42,40,24,18,3,70,0.342857143,0.257142857,0.3,0.512195122,0.487804878
